run_1, run_2, run_3, run_4
141907.73, 142653.56, 143017.53, 143034.72
111820.01, 111936.59, 110736.70, 110910.9
121520.85, 122054.03, 123379.12, 122454.01
45439.18, 56335.45, 45905.49, 54077.85
44197.19, 46080.18, 43799.40, 42918.18
80495.95, 81206.29, 79673.43, 81267.10
51058.86, 51279.29, 51932.04, 51632.74
114214.67, 116366.52, 114601.22, 115775.34
154236.23, 152662.17, 153738.86, 153525.65
234166.56, 226569.58, 231459.35, 231547.16
239444.34, 237054.13, 241589.95, 241173.83
241087.81, 241739.69, 240484.04, 241054.72
